iter	Passed	Remaining
0	556	1112485
1	1066	1065849
2	1529	1017898
3	2012	1004404
4	2427	968500
5	2919	970165
6	3399	967981
7	3856	960256
8	4341	960390
9	4769	949095
10	5225	944929
11	5679	940926
12	6205	948514
13	6691	949298
14	7126	943081
15	7546	935706
16	8050	939100
17	8462	931773
18	8900	928015
19	9380	928711
20	9805	924072
21	10274	923761
22	10736	922905
23	11186	921024
24	11597	916185
25	12069	916365
26	12553	917369
27	13025	917386
28	13506	917968
29	13933	914958
30	14362	912253
31	14850	913302
32	15266	909950
33	15717	908855
34	16194	909182
35	16661	908957
36	17118	908216
37	17557	906505
38	18069	908561
39	18523	907631
40	18940	904975
41	19404	904637
42	19848	903332
43	20257	900551
44	20726	900467
45	21179	899650
46	21617	898274
47	22067	897418
48	22542	897559
49	22970	895847
50	23409	894623
51	23867	894109
52	24314	893215
53	24785	893210
54	25200	891185
55	25659	890757
56	26079	888979
57	26554	889126
58	26926	885838
59	27372	885058
60	27846	885156
61	28286	884172
62	28759	884239
63	29189	882967
64	29602	881253
65	30002	879162
66	30423	877743
67	30900	877951
68	31352	877418
69	31806	876943
70	32263	876579
71	32683	875192
72	33137	874730
73	33557	873390
74	34019	873155
75	34467	872579
76	34941	872639
77	35395	872178
78	35856	871902
79	36290	870983
80	36788	871580
81	37187	869824
82	37613	868732
83	38053	867980
84	38459	866476
85	38909	865953
86	39329	864788
87	39797	864694
88	40209	863370
89	40701	863779
90	41132	862879
91	41586	862466
92	41962	860448
93	42389	859517
94	42796	858177
95	43221	857218
96	43679	856937
97	44143	856741
98	44607	856553
99	45071	856366
100	45502	855539
101	45941	854871
102	46410	854757
103	46887	854800
104	47311	853852
105	47762	853423
106	48247	853570
107	48688	852953
108	49047	850902
109	49365	848195
110	49796	847436
111	50212	846442
112	50628	845449
113	51048	844545
114	51499	844151
115	51979	844216
116	52391	843186
117	52924	844097
118	53404	844149
119	53915	844682
120	54339	843835
121	54798	843533
122	55205	842438
123	55668	842212
124	56107	841607
125	56504	840390
126	56949	839888
127	57332	838483
128	57784	838103
129	58183	836953
130	58606	836151
131	58936	834040
132	59414	834043
133	59868	833686
134	60319	833308
135	60486	829022
136	60801	826816
137	61300	827110
138	61736	826560
139	62195	826313
140	62679	826396
141	63092	825531
142	63584	825714
143	64090	826055
144	64523	825461
145	64967	824992
146	65442	824933
147	65936	825096
148	66280	823395
149	66770	823503
150	67199	822859
151	67667	822699
152	67836	818910
153	67997	815086
154	68439	814648
155	68940	814914
156	69194	812261
157	69657	812077
158	69732	807402
159	70154	806771
160	70296	802955
161	70440	799197
162	70626	795951
163	71061	795542
164	71549	795719
165	71992	795391
166	72492	795677
167	72927	795251
168	73392	795152
169	73893	795446
170	74361	795362
171	74603	792875
172	75041	792492
173	75451	791803
174	75603	788432
175	76083	788499
176	76548	788403
177	76910	787255
178	77404	787445
179	77629	784916
180	77869	782564
181	78127	780412
182	78569	780116
183	78997	779672
184	79455	779526
185	79834	778601
186	80291	778437
187	80762	778411
188	81254	778579
189	81717	778466
190	82170	778257
191	82665	778434
192	83094	777984
193	83547	777770
194	84035	777862
195	84493	777686
196	84967	777647
197	85469	777856
198	85609	774783
199	85900	773100
200	86160	771155
201	86625	771055
202	87087	770919
203	87194	767656
204	87308	764483
205	87421	761332
206	87839	760847
207	87925	757508
208	88035	754411
209	88506	754411
210	88794	752863
211	89306	753211
212	89569	751459
213	89980	750960
214	90447	750925
215	90901	750778
216	91377	750813
217	91825	750609
218	92121	749172
219	92566	748946
220	92792	746956
221	93293	747185
222	93515	745188
223	93816	743834
224	94093	742290
225	94300	740220
226	94453	737737
227	94971	738110
228	95393	737737
229	95894	737974
230	96386	738127
231	96692	736867
232	96992	735563
233	97215	733686
234	97609	733109
235	97961	732218
236	98438	732263
237	98881	732056
238	99308	731724
239	99729	731347
240	100147	730948
241	100627	731007
242	101066	730758
243	101491	730409
244	101957	730345
245	102435	730372
246	102862	730031
247	103297	729745
248	103741	729522
249	103963	727742
250	104430	727685
251	104716	726363
252	105123	725891
253	105596	725874
254	106090	725993
255	106535	725771
256	106766	724101
257	107261	724221
258	107698	723951
259	108159	723839
260	108623	723738
261	109003	723081
262	109506	723242
263	110042	723611
264	110513	723547
265	110983	723477
266	111417	723172
267	111682	721769
268	112175	721845
269	112636	721708
270	113147	721891
271	113501	721069
272	113930	720725
273	114404	720665
274	114810	720171
275	115257	719943
276	115704	719706
277	116148	719451
278	116659	719610
279	117155	719670
280	117676	719878
281	118200	720099
282	118628	719732
283	119055	719362
284	119486	719016
285	119903	718579
286	120378	718496
287	120809	718143
288	121289	718086
289	121763	717986
290	122292	718207
291	122825	718444
292	123258	718098
293	123706	717835
294	124164	717626
295	124690	717814
296	125091	717273
297	125588	717289
298	126073	717225
299	126610	717456
300	127084	717332
301	127532	717052
302	127984	716795
303	128496	716873
304	128920	716461
305	129412	716422
306	129890	716302
307	130399	716350
308	130830	715971
309	131254	715546
310	131731	715416
311	132199	715230
312	132693	715190
313	133251	715485
314	133691	715143
315	134211	715230
316	134624	714742
317	135045	714297
318	135443	713733
319	135943	713703
320	136419	713543
321	136950	713672
322	137500	713894
323	138001	713860
324	138415	713373
325	138858	713036
326	139275	712563
327	139721	712239
328	140123	711693
329	140553	711287
330	141108	711509
331	141640	711613
332	142190	711806
333	142639	711490
334	143068	711069
335	143632	711323
336	144108	711135
337	144552	710789
338	144946	710196
339	145481	710292
340	146002	710319
341	146393	709707
342	146898	709654
343	147515	710132
344	148064	710281
345	148497	709869
346	148958	709594
347	149450	709458
348	149988	709544
349	150401	709034
350	150836	708633
351	151329	708496
352	151739	707974
353	152194	707659
354	152707	707618
355	153109	707054
356	153550	706674
357	154000	706338
358	154430	705905
359	154905	705682
360	155453	705785
361	155899	705422
362	156336	705019
363	156791	704700
364	157210	704216
365	157716	704120
366	158214	703989
367	158632	703498
368	159089	703184
369	159485	702598
370	159933	702241
371	160500	702404
372	160925	701947
373	161419	701784
374	161840	701310
375	162246	700766
376	162744	700622
377	163161	700125
378	163684	700087
379	164221	700102
380	164740	700037
381	165183	699649
382	165601	699156
383	166133	699146
384	166563	698700
385	167025	698390
386	167470	698009
387	167987	697927
388	168489	697781
389	168901	697258
390	169329	696806
391	169778	696437
392	170261	696211
393	170724	695896
394	171164	695489
395	171624	695165
396	172126	695009
397	172638	694891
398	173121	694656
399	173695	694783
400	174112	694278
401	174597	694048
402	175087	693834
403	175579	693626
404	176063	693387
405	176456	692787
406	176919	692465
407	177419	692282
408	177909	692061
409	178371	691732
410	178846	691453
411	179390	691435
412	179855	691116
413	180276	690624
414	180801	690532
415	181219	690029
416	181634	689514
417	182038	688957
418	182542	688783
419	182960	688278
420	183438	688002
421	183860	687515
422	184318	687162
423	184793	686873
424	185243	686489
425	185770	686392
426	186222	686014
427	186627	685464
428	187121	685240
429	187541	684744
430	188060	684610
431	188482	684121
432	188892	683589
433	189379	683336
434	189795	682826
435	190312	682679
436	190770	682320
437	191249	682035
438	191715	681702
439	192183	681378
440	192690	681189
441	193157	680857
442	193599	680439
443	194097	680216
444	194608	680035
445	195019	679507
446	195552	679401
447	196053	679186
448	196621	679197
449	197118	678964
450	197601	678678
451	198036	678232
452	198463	677754
453	198980	677584
454	199457	677277
455	200012	677235
456	200418	676687
457	200896	676379
458	201348	675986
459	201837	675715
460	202316	675410
461	202808	675151
462	203391	675189
463	203982	675251
464	204520	675136
465	205176	675407
466	205717	675299
467	206274	675241
468	206905	675421
469	207527	675568
470	207956	675086
471	208478	674903
472	208885	674352
473	209352	673990
474	209875	673811
475	210358	673502
476	210872	673288
477	211456	673299
478	211956	673038
479	212401	672605
480	212923	672413
481	213500	672393
482	213940	671940
483	214444	671690
484	215022	671668
485	215477	671260
486	216013	671104
487	216534	670901
488	217044	670663
489	217553	670419
490	218099	670289
491	218528	669798
492	219048	669586
493	219507	669186
494	220070	669103
495	220649	669067
496	221085	668593
497	221539	668178
498	221988	667745
499	222491	667475
500	222943	667051
501	223481	666882
502	223957	666528
503	224434	666177
504	224893	665773
505	225316	665263
506	225768	664836
507	226239	664465
508	226772	664277
509	227180	663722
510	227644	663330
511	228074	662840
512	228530	662427
513	229058	662218
514	229559	661934
515	230017	661522
516	230490	661156
517	230887	660570
518	231364	660214
519	231877	659958
520	232318	659498
521	232817	659204
522	233328	658942
523	233871	658767
524	234324	658339
525	234831	658064
526	235267	657588
527	235738	657210
528	236332	657174
529	236871	656983
530	237475	656970
531	237951	656604
532	238406	656178
533	238875	655790
534	239312	655312
535	239825	655046
536	240316	654716
537	240811	654398
538	241394	654318
539	241997	654290
540	242455	653869
541	242985	653640
542	243478	653311
543	243923	652854
544	244354	652358
545	244809	651928
546	245227	651400
547	245670	650938
548	246166	650613
549	246675	650327
550	247088	649785
551	247621	649558
552	248171	649373
553	248726	649202
554	249116	648600
555	249565	648153
556	250014	647702
557	250473	647281
558	250944	646890
559	251453	646594
560	251978	646339
561	252385	645783
562	252802	645252
563	253315	644965
564	253871	644788
565	254279	644234
566	254706	643728
567	255170	643316
568	255601	642821
569	256057	642389
570	256513	641958
571	256981	641555
572	257412	641059
573	257817	640502
574	258251	640014
575	258807	639829
576	259340	639586
577	259774	639098
578	260224	638652
579	260707	638284
580	261162	637847
581	261593	637354
582	262028	636868
583	262479	636424
584	262892	635884
585	263457	635713
586	263923	635303
587	264368	634845
588	264938	634683
589	265471	634432
590	265965	634086
591	266456	633735
592	267047	633619
593	267566	633331
594	268081	633033
595	268684	632941
596	269161	632550
597	269574	632013
598	270028	631568
599	270568	631326
600	271013	630862
601	271589	630702
602	272113	630419
603	272615	630084
604	273092	629692
605	273642	629467
606	274227	629323
607	274637	628775
608	275088	628321
609	275622	628058
610	276041	627530
611	276528	627158
612	277078	626929
613	277567	626560
614	278024	626119
615	278443	625594
616	279043	625472
617	279595	625243
618	280193	625116
619	280661	624698
620	281109	624234
621	281550	623757
622	282077	623468
623	282671	623326
624	283140	622908
625	283568	622400
626	284078	622072
627	284520	621595
628	284958	621108
629	285405	620644
630	285842	620156
631	286407	619946
632	286928	619638
633	287456	619346
634	287898	618869
635	288332	618373
636	288869	618098
637	289356	617716
638	289913	617484
639	290365	617026
640	290912	616771
641	291413	616416
642	291936	616107
643	292348	615566
644	292768	615040
645	293257	614660
646	293747	614282
647	294274	613980
648	294755	613581
649	295242	613196
650	295854	613069
651	296401	612805
652	296917	612478
653	297448	612180
654	298003	611930
655	298531	611625
656	299023	611246
657	299512	610860
658	299948	610366
659	300505	610116
660	300975	609691
661	301435	609246
662	301851	608710
663	302289	608220
664	302817	607911
665	303266	607443
666	303717	606979
667	304190	606559
668	304618	606050
669	305162	605769
670	305592	605263
671	306141	604993
672	306602	604549
673	307193	604359
674	307625	603857
675	308062	603365
676	308552	602977
677	308956	602420
678	309378	601899
679	309893	601557
680	310370	601143
681	310790	600619
682	311245	600162
683	311807	599910
684	312211	599354
685	312637	598842
686	313146	598487
687	313679	598178
688	314197	597840
689	314627	597336
690	315113	596936
691	315531	596409
692	316004	595986
693	316520	595642
694	316976	595185
695	317492	594842
696	317940	594370
697	318417	593954
698	318903	593552
699	319379	593133
700	319809	592627
701	320252	592147
702	320681	591640
703	321073	591067
704	321467	590497
705	321976	590137
706	322463	589738
707	322910	589265
708	323356	588791
709	323835	588376
710	324323	587979
711	324768	587503
712	325250	587093
713	325763	586738
714	326203	586253
715	326623	585732
716	327114	585338
717	327649	585023
718	328232	584791
719	328699	584354
720	329153	583894
721	329576	583378
722	330012	582884
723	330449	582394
724	330940	581999
725	331377	581508
726	331874	581122
727	332325	580655
728	332729	580109
729	333162	579612
730	333585	579096
731	333979	578533
732	334421	578051
733	334847	577542
734	335287	577059
735	335709	576545
736	336149	576060
737	336735	575827
738	337132	575268
739	337539	574728
740	337981	574249
741	338398	573727
742	338776	573138
743	339237	572691
744	339679	572211
745	340168	571811
746	340560	571247
747	341046	570843
748	341493	570371
749	341902	569836
750	342372	569405
751	342759	568835
752	343287	568499
753	343723	568009
754	344133	567478
755	344592	567028
756	345000	566493
757	345515	566134
758	346057	565819
759	346533	565397
760	346977	564921
761	347380	564379
762	347893	564015
763	348303	563485
764	348779	563062
765	349298	562708
766	349824	562364
767	350289	561922
768	350695	561386
769	351135	560904
770	351592	560451
771	352022	559952
772	352438	559433
773	352879	558954
774	353334	558497
775	353761	557994
776	354252	557594
