iter	Passed	Remaining
407	5176	13855
408	5189	13843
409	5200	13825
410	5214	13815
411	5226	13802
412	5237	13785
413	5248	13768
414	5263	13761
415	5275	13747
416	5287	13731
417	5298	13716
418	5311	13702
419	5323	13688
420	5335	13673
421	5346	13656
422	5358	13642
423	5368	13624
424	5379	13605
425	5391	13593
426	5405	13584
427	5417	13569
428	5430	13556
429	5442	13543
430	5453	13526
431	5466	13515
432	5477	13498
433	5488	13480
434	5499	13464
435	5510	13447
436	5522	13434
437	5534	13419
438	5547	13406
439	5559	13393
440	5571	13379
441	5581	13360
442	5592	13343
443	5604	13329
444	5616	13315
445	5627	13299
446	5640	13287
447	5652	13273
448	5665	13261
449	5676	13245
450	5688	13231
451	5700	13217
452	5712	13204
453	5724	13189
454	5736	13176
455	5751	13167
456	5764	13156
457	5776	13142
458	5787	13126
459	5798	13110
460	5811	13098
461	5824	13085
462	5835	13071
463	5849	13061
464	5862	13047
465	5872	13030
466	5883	13015
467	5896	13003
468	5909	12990
469	5920	12974
470	5932	12960
471	5944	12947
472	5956	12933
473	5966	12915
474	5979	12904
475	5990	12886
476	6002	12873
477	6014	12860
478	6027	12848
479	6039	12832
480	6050	12818
481	6063	12806
482	6074	12791
483	6086	12776
484	6097	12761
485	6110	12748
486	6121	12733
487	6133	12719
488	6145	12705
489	6156	12690
490	6169	12678
491	6180	12662
492	6190	12644
493	6203	12632
494	6214	12617
495	6227	12605
496	6237	12588
497	6250	12577
498	6262	12563
499	6275	12550
500	6286	12535
501	6298	12520
502	6311	12510
503	6324	12498
504	6337	12487
505	6349	12473
506	6363	12463
507	6376	12451
508	6388	12438
509	6402	12428
510	6416	12418
511	6430	12408
512	6442	12395
513	6454	12382
514	6465	12366
515	6478	12355
516	6490	12341
517	6503	12329
518	6517	12319
519	6529	12306
520	6540	12290
521	6553	12278
522	6564	12262
523	6574	12246
524	6587	12233
525	6598	12218
526	6609	12203
527	6621	12189
528	6633	12176
529	6647	12165
530	6658	12151
531	6668	12134
532	6681	12122
533	6692	12106
534	6704	12093
535	6715	12077
536	6727	12065
537	6738	12048
538	6750	12036
539	6763	12023
540	6776	12011
541	6788	11998
542	6800	11986
543	6812	11972
544	6824	11957
545	6834	11942
546	6846	11928
547	6857	11913
548	6868	11898
549	6881	11885
550	6892	11871
551	6906	11860
552	6918	11847
553	6931	11836
554	6943	11822
555	6954	11808
556	6965	11792
557	6976	11778
558	6987	11762
559	6998	11748
560	7010	11734
561	7022	11720
562	7034	11707
563	7046	11694
564	7059	11682
565	7070	11667
566	7082	11653
567	7093	11639
568	7104	11625
569	7116	11611
570	7128	11598
571	7141	11585
572	7152	11572
573	7164	11558
574	7176	11544
575	7188	11530
576	7199	11517
577	7210	11502
578	7222	11489
579	7234	11475
580	7246	11462
581	7258	11449
582	7270	11436
583	7281	11420
584	7293	11408
585	7303	11392
586	7317	11380
587	7328	11366
588	7341	11354
589	7352	11340
590	7365	11328
591	7378	11316
592	7390	11303
593	7402	11290
594	7413	11276
595	7425	11262
596	7436	11248
597	7448	11234
598	7460	11221
599	7472	11208
600	7483	11194
601	7494	11179
602	7506	11166
603	7519	11154
604	7530	11139
605	7543	11128
606	7554	11114
607	7566	11100
608	7579	11089
609	7591	11075
610	7602	11062
611	7614	11047
612	7624	11033
613	7636	11019
614	7647	11005
615	7661	10995
616	7673	10982
617	7685	10968
618	7699	10958
619	7710	10943
620	7721	10929
621	7733	10916
622	7744	10902
623	7756	10889
624	7769	10877
625	7780	10862
626	7792	10849
627	7803	10835
628	7815	10822
629	7826	10808
630	7838	10795
631	7850	10781
632	7861	10767
633	7873	10754
634	7885	10741
635	7898	10729
636	7909	10715
637	7921	10702
638	7932	10688
639	7944	10675
640	7955	10660
641	7966	10647
642	7979	10634
643	7990	10621
644	8002	10607
645	8014	10594
646	8025	10580
647	8037	10567
648	8048	10553
649	8060	10540
650	8071	10526
651	8083	10513
652	8095	10500
653	8106	10486
654	8117	10471
655	8129	10459
656	8142	10447
657	8153	10433
658	8164	10419
659	8175	10405
660	8187	10392
661	8199	10379
662	8211	10366
663	8223	10354
664	8237	10342
665	8248	10328
666	8261	10317
667	8272	10303
668	8283	10288
669	8295	10276
670	8308	10264
671	8318	10249
672	8331	10237
673	8343	10224
674	8356	10213
675	8366	10198
676	8378	10185
677	8390	10172
678	8402	10160
679	8414	10147
680	8426	10134
681	8438	10121
682	8450	10108
683	8461	10094
684	8473	10081
685	8484	10067
686	8495	10054
687	8508	10042
688	8519	10028
689	8530	10014
690	8543	10001
691	8554	9988
692	8565	9974
693	8578	9963
694	8590	9950
695	8603	9938
696	8614	9925
697	8627	9912
698	8639	9899
699	8651	9887
700	8662	9873
701	8673	9859
702	8684	9845
703	8696	9833
704	8708	9819
705	8721	9808
706	8733	9796
707	8745	9783
708	8756	9769
709	8768	9756
710	8779	9742
711	8790	9728
712	8802	9716
713	8814	9703
714	8826	9691
715	8838	9678
716	8849	9664
717	8860	9650
718	8872	9637
719	8884	9625
720	8896	9612
721	8909	9600
722	8922	9588
723	8933	9574
724	8947	9564
725	8956	9549
726	8969	9536
727	8980	9523
728	8991	9509
729	9004	9497
730	9015	9484
731	9028	9472
732	9040	9459
733	9051	9446
734	9063	9433
735	9074	9419
736	9086	9407
737	9098	9394
738	9110	9381
739	9123	9369
740	9135	9357
741	9147	9344
742	9158	9331
743	9169	9317
744	9180	9304
745	9191	9290
746	9202	9276
747	9215	9264
748	9225	9250
749	9237	9237
750	9249	9225
751	9261	9212
752	9272	9198
753	9283	9184
754	9293	9170
755	9305	9158
756	9317	9145
757	9330	9133
758	9341	9119
759	9353	9107
760	9365	9094
761	9376	9081
762	9388	9068
763	9400	9055
764	9413	9044
765	9424	9031
766	9436	9018
767	9448	9005
768	9459	8992
769	9471	8979
770	9482	8966
771	9493	8952
772	9504	8939
773	9515	8925
774	9527	8912
775	9539	8900
776	9551	8887
777	9562	8874
778	9575	8862
779	9588	8850
780	9600	8838
781	9611	8825
782	9625	8813
783	9637	8801
784	9650	8789
785	9661	8776
786	9671	8762
787	9683	8749
788	9696	8737
789	9707	8724
790	9719	8712
791	9731	8699
792	9742	8685
793	9754	8673
794	9767	8661
795	9778	8648
796	9790	8635
797	9802	8623
798	9814	8610
799	9825	8597
800	9837	8584
801	9850	8572
802	9860	8558
803	9871	8545
804	9884	8533
805	9895	8520
806	9907	8507
807	9919	8495
808	9931	8482
809	9943	8470
810	9954	8456
811	9967	8445
812	9977	8430
813	9989	8418
814	10002	8406
815	10014	8394
816	10027	8382
817	10039	8370
818	10052	8358
819	10063	8345
820	10075	8333
821	10087	8320
822	10099	8307
823	10112	8296
824	10125	8284
825	10137	8272
826	10148	8258
827	10159	8245
828	10171	8232
829	10182	8219
830	10193	8206
831	10205	8193
832	10217	8181
833	10230	8169
834	10242	8156
835	10252	8143
836	10264	8130
837	10277	8118
838	10287	8105
839	10300	8093
840	10311	8080
841	10323	8067
842	10336	8055
843	10347	8042
844	10358	8028
845	10370	8017
846	10384	8005
847	10396	7993
848	10407	7980
