iter	MultiClass
0	1.006569045
1	0.9272140253
2	0.857353253
3	0.7957133278
4	0.7412156315
5	0.6921404823
6	0.6477719176
7	0.6074211858
8	0.5707642484
9	0.5374429943
10	0.5067632377
11	0.4780963829
12	0.4520412436
13	0.4278423308
14	0.4053304811
15	0.3844486021
16	0.3650637285
17	0.3472137602
18	0.3303841852
19	0.3146298365
20	0.2999927109
21	0.2862398207
22	0.2733809908
23	0.261410619
24	0.250167294
25	0.2395615729
26	0.2296563465
27	0.2203453267
28	0.2116223866
29	0.2034102207
30	0.1956561179
31	0.1883506783
32	0.1814326964
33	0.1749922783
34	0.1688797666
35	0.1631471596
36	0.1576883307
37	0.1525809286
38	0.1477511904
39	0.1431700422
40	0.1388313045
41	0.1347248583
42	0.1309122171
43	0.127278975
44	0.1238214494
45	0.1205736643
46	0.1175298741
47	0.1146529934
48	0.1118934545
49	0.1092940833
50	0.1068548286
51	0.1044931295
52	0.102298904
53	0.1002111489
54	0.09824132594
55	0.09638056709
56	0.09459321535
57	0.09290237243
58	0.09130481888
59	0.0898054302
60	0.08841431429
61	0.0870893201
62	0.0858074044
63	0.0846170128
64	0.08347746602
65	0.08237522951
66	0.08132479434
67	0.08037406095
68	0.07945552845
69	0.07856818889
70	0.07773506615
71	0.076963487
72	0.07618482668
73	0.07546558676
74	0.07484780746
75	0.0741976899
76	0.0736078077
77	0.07302639661
78	0.0724620991
79	0.07192988165
80	0.07146486349
81	0.07102164328
82	0.07060586806
83	0.07018993685
84	0.06977909408
85	0.0693788152
86	0.06910661773
87	0.0688064223
88	0.06849398094
89	0.06821875403
90	0.06791869393
91	0.06767353156
92	0.06738456827
93	0.06713358082
94	0.06691505045
95	0.06672089492
96	0.06653010085
97	0.06631646079
98	0.06616991687
99	0.06598977806
100	0.06579272881
101	0.06560591578
102	0.06546881951
103	0.0653193121
104	0.06523598965
105	0.06514203593
106	0.06500331425
107	0.06484899549
108	0.06467999191
109	0.06459186036
110	0.06453001221
111	0.06445777348
112	0.06435782211
113	0.06432911785
114	0.06421114658
115	0.06411291091
116	0.06401045401
117	0.06396655364
118	0.06389257861
119	0.06382318804
120	0.06371313713
121	0.06368280282
122	0.06360565075
123	0.0635796848
124	0.06357471201
125	0.06348356579
126	0.06341224526
127	0.0633929276
128	0.06329438782
129	0.06328976861
130	0.06324121062
131	0.06320990388
132	0.06317120079
133	0.06305894527
134	0.06300944561
135	0.06295358105
136	0.06294310371
137	0.06289221065
138	0.06284215881
139	0.06279630944
140	0.06276578702
141	0.06273997123
142	0.06271738874
143	0.06267895666
144	0.06265733126
145	0.06265337083
146	0.06261769514
147	0.06261089816
148	0.06256948204
149	0.06256268796
150	0.06252798504
151	0.06248798123
152	0.06248616123
153	0.06248559508
154	0.06243368782
155	0.06243165486
156	0.06242202959
157	0.06237618936
158	0.06233608317
159	0.06233141877
160	0.06232648003
161	0.06230800946
162	0.06230646543
163	0.06230240987
164	0.06226500439
165	0.06220408389
166	0.06220397296
167	0.0622006376
168	0.06217311529
169	0.06211952564
170	0.06207974422
171	0.06207953839
172	0.0620299057
173	0.0620298406
174	0.06198860381
175	0.06197072152
176	0.06194186132
177	0.06193449413
178	0.061911509
179	0.06187185183
180	0.06184579433
181	0.06182953773
182	0.06181891004
183	0.06179093872
184	0.06178181456
185	0.06175897311
186	0.06173829543
187	0.06173827264
188	0.06173825361
189	0.06173768504
190	0.0617146001
191	0.06171458658
192	0.0617143243
193	0.06170065672
194	0.06169164601
195	0.06168093827
196	0.06168054028
197	0.06166152808
198	0.06165246714
199	0.06160447627
200	0.06160411792
201	0.06158828845
202	0.0615757667
203	0.06154341558
204	0.06152409032
205	0.0615209133
206	0.06151367345
207	0.06150526738
208	0.06147953832
209	0.06147168017
210	0.06145765894
211	0.06143174636
212	0.0614308717
213	0.06141048916
214	0.0614104875
215	0.06140759055
216	0.06140647717
217	0.0613770088
218	0.06135635298
219	0.06133526805
220	0.0613346963
221	0.06131044256
222	0.06127698143
223	0.06125541584
224	0.0612257464
225	0.06120838608
226	0.06120658627
227	0.06120001945
228	0.06117141355
229	0.0611534219
230	0.06114313493
231	0.06113805854
232	0.06112233383
233	0.06112233308
234	0.06110195366
235	0.06108739113
236	0.06106626963
237	0.06104871009
238	0.06103125597
239	0.06103050979
240	0.06103005129
241	0.06102509416
242	0.06102509272
243	0.06102482031
244	0.0610028146
245	0.06099324794
246	0.06099092747
247	0.06097588384
248	0.06097564664
249	0.06095363299
250	0.06094221506
251	0.06094221474
252	0.06093689512
253	0.06090707712
254	0.06090509438
255	0.06089025309
256	0.06086123394
257	0.06084453981
258	0.0608263823
259	0.06081617701
260	0.06079389891
261	0.06077487208
262	0.06077480148
263	0.0607528992
264	0.06073648068
265	0.06071802617
266	0.06071222216
267	0.06069626153
268	0.0606932696
269	0.06067256041
270	0.06066956097
271	0.06065782578
272	0.06065600024
273	0.06065555674
274	0.06065554187
275	0.06062120431
276	0.06059887709
277	0.06058875706
278	0.06058813156
279	0.06056986042
280	0.06055453248
281	0.06053624046
282	0.06051543595
283	0.06050467835
284	0.06048834757
285	0.06048533719
286	0.06046662363
287	0.06046116205
288	0.06044074519
289	0.06041543771
290	0.06041171505
291	0.06040272866
292	0.06039767479
293	0.06038395165
294	0.06036172044
295	0.06035423831
296	0.0603441391
297	0.06032397407
298	0.06032366589
299	0.06032299652
300	0.06029369767
301	0.06026841973
302	0.0602684064
303	0.06024892941
304	0.06024892902
305	0.06023453778
306	0.06021863713
307	0.06021080248
308	0.0601899045
309	0.06018430294
310	0.06017564633
311	0.06017357987
312	0.06015970372
313	0.06015645954
314	0.06014196131
315	0.06013585902
316	0.06009868794
317	0.06009117962
318	0.06007226294
319	0.06004559092
320	0.06003500158
321	0.0600108233
322	0.05999955835
323	0.05998210586
324	0.0599711022
325	0.05995369681
326	0.05994139552
327	0.05992287234
328	0.05989647299
329	0.0598646534
330	0.05984958337
331	0.05982808496
332	0.05980901243
333	0.05980156786
334	0.05976249732
335	0.05975666502
336	0.05975615939
337	0.05974067387
338	0.05972713183
339	0.0597144664
340	0.05969859002
341	0.05969065467
342	0.05968458854
343	0.05968059977
344	0.05967077538
345	0.05965095451
346	0.05965092847
347	0.0596428265
348	0.05964064026
349	0.05962190514
350	0.05960414336
351	0.05958264647
352	0.0595658934
353	0.05954711847
354	0.05952581408
355	0.05951950173
356	0.05950865202
357	0.05948839687
358	0.05947088497
359	0.0594618206
360	0.05944958529
361	0.05942721447
362	0.05941616699
363	0.05940609877
364	0.05939974496
365	0.05938762506
366	0.05938104074
367	0.05936969626
368	0.05935858871
369	0.05933837086
370	0.05933008289
371	0.05931640962
372	0.05931175572
373	0.05931163667
374	0.05929784615
375	0.05929127689
376	0.05928352424
377	0.05927126376
378	0.05926262006
379	0.05925540409
380	0.05925536957
381	0.05924276477
382	0.05923281492
383	0.05920673423
384	0.05919657883
385	0.05918713814
386	0.05918382743
387	0.05917714269
388	0.05915086204
389	0.05914512399
390	0.05914511861
391	0.05914159458
392	0.05913375158
393	0.05912330703
394	0.05910880676
395	0.05910342621
396	0.05908778287
397	0.05906790587
398	0.059063863
399	0.05905609845
400	0.05904547066
401	0.05902497478
402	0.05900978246
403	0.05900497157
404	0.05898448932
405	0.05898052721
406	0.05897557241
407	0.05897554908
408	0.05896321759
409	0.05894825854
410	0.05894335625
411	0.05892735322
412	0.05890690043
413	0.05889038587
414	0.05887056266
415	0.05885697705
416	0.05884832488
417	0.05883434446
418	0.05881658247
419	0.05878747229
420	0.0587857473
421	0.05877623261
422	0.05875139996
423	0.05873835333
424	0.05872926819
425	0.05871775513
426	0.05869651158
427	0.0586868397
428	0.0586745694
429	0.05867342014
430	0.05867195522
431	0.05866199163
432	0.05865641066
433	0.05864518025
434	0.05862985616
435	0.05862439976
436	0.05861893725
437	0.05860795128
438	0.05859504122
439	0.05858618837
440	0.05857962691
441	0.05856915007
442	0.05855473667
443	0.05854701532
444	0.05854631721
445	0.05854023392
446	0.0585243081
447	0.05851650626
448	0.05851043649
449	0.0585038776
450	0.05849474008
451	0.05848646277
452	0.05846951662
453	0.05845699741
454	0.05844531982
455	0.05841310618
456	0.05837499513
457	0.05836666641
458	0.05835217862
459	0.05834550354
460	0.0583321889
461	0.05832083378
462	0.05829609026
463	0.05829533666
464	0.05828346569
465	0.05828039371
466	0.05826835272
467	0.05826058746
468	0.05824707718
469	0.0582438558
470	0.0582221295
471	0.05821923889
472	0.0582102708
473	0.05819785634
474	0.05819264798
475	0.05818255211
476	0.05817884246
477	0.05817217807
478	0.05815741291
479	0.05814935419
480	0.05813466417
481	0.05812859034
482	0.05811787926
483	0.05811740491
484	0.05811261542
485	0.05810786227
