iter	Passed	Remaining
0	516	1032104
1	998	997440
2	1415	941920
3	1937	967011
4	2349	937262
5	2796	929500
6	3259	928099
7	3691	919108
8	4132	914256
9	4559	907284
10	5005	905152
11	5436	900656
12	5909	903221
13	6363	902675
14	6816	902029
15	7194	892107
16	7639	891127
17	7982	878935
18	8439	879939
19	8914	882535
20	9348	880991
21	9833	884162
22	10316	886798
23	10786	888099
24	11126	879028
25	11605	881123
26	12052	880714
27	12519	881733
28	12935	879187
29	13404	880251
30	13836	878834
31	14295	879147
32	14763	879997
33	15193	878515
34	15626	877301
35	16056	875982
36	16523	876637
37	16990	877223
38	17457	877783
39	17924	878290
40	18369	877701
41	18800	876477
42	19262	876647
43	19735	877338
44	20186	876990
45	20635	876568
46	21102	876878
47	21550	876373
48	22019	876752
49	22475	876561
50	22939	876650
51	23405	876822
52	23851	876205
53	24291	875389
54	24706	873716
55	25124	872168
56	25569	871594
57	25990	870221
58	26450	870185
59	26911	870143
60	27394	870798
61	27815	869474
62	28270	869213
63	28691	867911
64	29169	868341
65	29637	868483
66	30085	867978
67	30484	866120
68	30971	866752
69	31467	867594
70	31951	868087
71	32422	868209
72	32913	868822
73	33334	867592
74	33819	868044
75	34300	868352
76	34854	870450
77	35316	870222
78	35727	868754
79	36195	868682
80	36645	868177
81	37121	868289
82	37526	866716
83	37990	866547
84	38436	865960
85	38852	864699
86	39334	864904
87	39845	865742
88	40312	865589
89	40735	864504
90	41245	865240
91	41679	864396
92	42110	863499
93	42562	863027
94	42999	862244
95	43441	861583
96	43908	861425
97	44366	861078
98	44797	860201
99	45261	859970
100	45713	859506
101	46164	859019
102	46633	858872
103	47041	857603
104	47483	856967
105	47926	856351
106	48380	855923
107	48830	855440
108	49261	854616
109	49788	855454
110	50233	854873
111	50701	854690
112	51164	854396
113	51446	851117
114	51893	850606
115	52345	850170
116	52842	850454
117	53303	850143
118	53749	849603
119	54174	848736
120	54634	848410
121	55117	848441
122	55590	848325
123	56105	848815
124	56211	843169
125	56659	842693
126	57156	842939
127	57336	838552
128	57824	838681
129	58232	837654
130	58715	837697
131	59179	837479
132	59626	837018
133	60096	836872
134	60551	836507
135	61002	836092
136	61253	832959
137	61695	832441
138	62170	832366
139	62645	832286
140	63115	832145
141	63664	833014
142	64136	832878
143	64613	832796
144	65116	833037
145	65343	829775
146	65803	829485
147	66041	826411
148	66472	825776
149	66778	823603
150	67268	823707
151	67719	823325
152	68166	822895
153	68468	820730
154	68917	820335
155	69124	817085
156	69612	817174
157	70115	817428
158	70627	817770
159	70804	814246
160	71216	813465
161	71710	813603
162	72189	813565
163	72626	813067
164	73125	813243
165	73614	813308
166	73772	809735
167	73886	805713
168	74359	805630
169	74848	805719
170	75255	804929
171	75674	804266
172	76137	804060
173	76282	800524
174	76744	800340
175	77206	800141
176	77675	800017
177	78187	800325
178	78692	800550
179	79189	800695
180	79764	801614
181	80375	802867
182	80892	803179
183	81381	803202
184	81889	803402
185	82328	802922
186	82790	802672
187	83036	800332
188	83140	796656
189	83347	793999
190	83755	793269
191	83838	789478
192	84067	787100
193	84528	786898
194	84978	786593
195	85462	786601
196	85748	784798
197	86205	784560
198	86696	784624
199	87161	784449
200	87317	781514
201	87846	781924
202	88337	781978
203	88778	781599
204	89274	781696
205	89657	780806
206	90258	781801
207	90824	782486
208	91241	781882
209	91759	782140
210	92206	781787
211	92690	781745
212	93126	781299
213	93643	781527
214	93723	778126
215	94220	778191
216	94631	777551
217	95097	777352
218	95574	777255
219	96025	776936
220	96313	775300
221	96782	775130
222	97221	774720
223	97677	774439
224	98184	774567
225	98687	774650
226	98950	772856
227	99432	772781
228	99888	772498
229	100329	772101
230	100808	771991
231	101287	771882
232	101780	771873
233	101966	769543
234	102433	769343
235	102875	768953
236	103347	768784
237	103821	768628
238	104270	768284
239	104666	767552
240	104994	766328
241	105499	766398
242	105655	763937
243	105929	762344
244	106442	762475
245	106947	762542
246	107387	762147
247	107876	762097
248	108425	762460
249	108842	761894
250	109357	762015
251	109561	759974
252	110079	760115
253	110499	759575
254	110962	759329
255	111452	759272
256	111934	759150
257	112395	758886
258	112821	758386
259	113320	758377
260	113755	757931
261	114165	757328
262	114641	757154
263	115099	756865
264	115562	756608
265	116057	756555
266	116531	756364
267	116959	755871
268	117479	755974
269	117902	755448
270	118467	755834
271	118947	755664
272	119483	755853
273	119902	755300
274	120209	754043
275	120686	753850
276	121175	753739
277	121586	753138
278	122086	753088
279	122556	752844
280	123062	752827
281	123520	752514
282	123958	752070
283	124414	751746
284	124893	751554
285	125402	751535
286	125872	751285
287	126376	751238
288	126847	750990
289	127331	750818
290	127827	750712
291	128295	750441
292	128844	750638
293	129346	750559
294	129779	750081
295	130263	749893
296	130782	749910
297	131257	749664
298	131764	749604
299	132294	749669
300	132756	749345
301	133234	749111
302	133581	748142
303	134027	747731
304	134249	746074
305	134720	745806
306	135140	745254
307	135660	745249
308	136125	744945
309	136626	744834
310	137065	744386
311	137566	744269
312	138023	743915
313	138516	743755
314	138983	743452
315	139478	743295
316	139975	743148
317	140502	743159
318	140937	742680
319	141372	742204
320	141800	741693
321	142249	741287
322	142788	741352
323	143287	741204
324	143732	740776
325	144222	740576
326	144770	740674
327	145232	740334
328	145727	740155
329	146165	739684
330	146695	739680
331	147119	739145
332	147563	738702
333	148082	738639
334	148537	738251
335	149049	738150
336	149515	737818
337	150003	737589
338	150483	737323
339	150909	736793
340	151395	736556
341	151872	736271
342	152353	736005
